Timestamp,Classe,Confianca,Centro_X,Centro_Y
2025-09-23T01:02:11.023904,motorcycle,0.65,312,346
2025-09-23T01:02:11.024051,motorcycle,0.54,429,43
2025-09-23T01:02:11.096984,motorcycle,0.58,315,346
2025-09-23T01:02:11.097186,motorcycle,0.55,432,40
2025-09-23T01:02:11.097318,motorcycle,0.54,376,61
2025-09-23T01:02:11.172193,motorcycle,0.65,311,343
2025-09-23T01:02:11.172340,motorcycle,0.57,429,40
2025-09-23T01:02:11.172462,motorcycle,0.57,368,61
2025-09-23T01:02:11.244089,motorcycle,0.66,306,342
2025-09-23T01:02:11.244284,motorcycle,0.58,428,40
2025-09-23T01:02:11.244444,motorcycle,0.55,308,65
2025-09-23T01:02:11.244577,motorcycle,0.55,371,61
2025-09-23T01:02:11.318826,motorcycle,0.67,308,342
2025-09-23T01:02:11.318979,motorcycle,0.57,429,40
2025-09-23T01:02:11.319113,motorcycle,0.54,304,65
2025-09-23T01:02:11.319238,motorcycle,0.54,373,60
2025-09-23T01:02:11.394206,motorcycle,0.65,310,346
2025-09-23T01:02:11.394331,motorcycle,0.55,427,43
2025-09-23T01:02:11.466134,motorcycle,0.62,316,351
2025-09-23T01:02:11.466285,motorcycle,0.55,321,65
2025-09-23T01:02:11.466410,motorcycle,0.53,427,45
2025-09-23T01:02:11.541335,motorcycle,0.59,430,46
2025-09-23T01:02:11.541463,motorcycle,0.52,254,71
2025-09-23T01:02:11.541634,motorcycle,0.50,318,353
2025-09-23T01:02:11.615569,motorcycle,0.50,428,46
2025-09-23T01:02:11.756310,motorcycle,0.56,319,355
2025-09-23T01:02:11.826433,motorcycle,0.53,320,358
2025-09-23T01:02:11.898929,motorcycle,0.52,322,358
2025-09-23T01:02:11.968468,motorcycle,0.53,318,356
2025-09-23T01:02:12.042418,motorcycle,0.56,315,356
2025-09-23T01:02:12.042553,motorcycle,0.50,427,48
2025-09-23T01:02:12.114331,motorcycle,0.64,310,354
2025-09-23T01:02:12.114487,motorcycle,0.52,422,47
2025-09-23T01:02:12.184282,motorcycle,0.63,316,352
2025-09-23T01:02:12.184457,motorcycle,0.55,425,47
2025-09-23T01:02:12.257827,motorcycle,0.55,318,364
2025-09-23T01:02:12.257972,motorcycle,0.53,431,45
2025-09-23T01:02:12.328903,motorcycle,0.60,372,67
2025-09-23T01:02:12.329098,motorcycle,0.56,314,359
2025-09-23T01:02:12.329220,motorcycle,0.52,435,47
2025-09-23T01:02:12.402141,motorcycle,0.55,309,363
2025-09-23T01:02:12.402308,motorcycle,0.53,430,55
2025-09-23T01:02:12.473759,motorcycle,0.58,315,367
2025-09-23T01:02:12.544079,motorcycle,0.64,309,364
2025-09-23T01:02:12.544285,motorcycle,0.55,430,65
2025-09-23T01:02:12.626483,motorcycle,0.68,304,365
2025-09-23T01:02:12.626661,motorcycle,0.52,430,73
2025-09-23T01:02:12.729644,motorcycle,0.67,324,373
2025-09-23T01:02:12.833291,motorcycle,0.67,316,368
2025-09-23T01:02:12.918567,motorcycle,0.70,321,370
2025-09-23T01:02:12.918756,motorcycle,0.54,283,107
2025-09-23T01:02:12.918941,motorcycle,0.51,404,86
2025-09-23T01:02:12.919140,motorcycle,0.51,113,331
2025-09-23T01:02:12.999591,motorcycle,0.56,404,90
2025-09-23T01:02:12.999811,motorcycle,0.54,311,392
2025-09-23T01:02:13.000018,motorcycle,0.52,274,115
2025-09-23T01:02:13.078282,motorcycle,0.64,313,401
2025-09-23T01:02:13.078511,motorcycle,0.50,254,120
2025-09-23T01:02:13.153173,motorcycle,0.67,315,398
2025-09-23T01:02:13.224830,motorcycle,0.63,315,402
2025-09-23T01:02:13.225041,motorcycle,0.56,257,134
2025-09-23T01:02:13.303263,motorcycle,0.60,298,405
2025-09-23T01:02:13.303461,motorcycle,0.58,352,113
2025-09-23T01:02:13.303687,motorcycle,0.54,229,137
2025-09-23T01:02:13.303881,motorcycle,0.50,93,249
2025-09-23T01:02:13.382658,motorcycle,0.69,295,413
2025-09-23T01:02:13.382838,motorcycle,0.54,321,123
2025-09-23T01:02:13.382991,motorcycle,0.53,198,151
2025-09-23T01:02:13.459942,motorcycle,0.59,164,154
2025-09-23T01:02:13.460159,motorcycle,0.59,286,424
